Processors	Process	Node		Points	Threads	Construction	Distribution
4		3	ct1pt-tnode010	2097151	8	4.40349	12.7657
4		2	ct1pt-tnode010	2097151	8	4.35939	12.7657
4		0	ct1pt-tnode006	16777215	8	26.6254	118.92
4		1	ct1pt-tnode006	16777215	8	43.5284	121.28
4		3	ct1pt-tnode010	16777215	8	26.5543	121.087
4		2	ct1pt-tnode010	16777215	8	43.565	121.087
4		0	ct1pt-tnode006	134217727	8	270.606	1060.32
4		1	ct1pt-tnode006	134217727	8	444.858	1079.21
4		3	ct1pt-tnode010	134217727	8	259.131	1079.65
4		2	ct1pt-tnode010	134217727	8	428.328	1079.65
