Processors	Process	Node		Points	Threads	Construction	Distribution
8		0	ct1pt-tnode006	134217727	1	24.3363	16.7492
8		1	ct1pt-tnode006	134217727	1	25.6725	18.2061
8		7	ct1pt-tnode009	134217727	1	25.4595	3.60567
8		4	ct1pt-tnode008	134217727	1	19.5754	3.39266
8		6	ct1pt-tnode009	134217727	1	27.4657	3.60671
8		5	ct1pt-tnode008	134217727	1	23.0096	3.39252
8		2	ct1pt-tnode007	134217727	1	24.1172	18.2847
8		3	ct1pt-tnode007	134217727	1	25.5479	18.2847
8		0	ct1pt-tnode006	32767	2	0.00136616	0.72124
8		1	ct1pt-tnode006	32767	2	0.577541	0.742422
8		7	ct1pt-tnode009	32767	2	0.571209	1.4867
8		4	ct1pt-tnode008	32767	2	0.00162424	0.741159
8		6	ct1pt-tnode009	32767	2	0.00167483	1.48549
8		5	ct1pt-tnode008	32767	2	0.593252	0.761166
8		2	ct1pt-tnode007	32767	2	0.00186866	1.47106
8		3	ct1pt-tnode007	32767	2	0.599865	1.47113
8		0	ct1pt-tnode006	262143	2	0.009886	0.0427163
8		1	ct1pt-tnode006	262143	2	0.0106418	0.201818
8		7	ct1pt-tnode009	262143	2	0.0114247	0.237297
8		5	ct1pt-tnode008	262143	2	0.0120359	0.234684
8		6	ct1pt-tnode009	262143	2	0.0150473	0.104701
8		4	ct1pt-tnode008	262143	2	0.0115828	0.0804185
8		2	ct1pt-tnode007	262143	2	0.0147461	0.0898961
8		3	ct1pt-tnode007	262143	2	0.0148906	0.206987
8		0	ct1pt-tnode006	2097151	2	0.151024	0.217641
8		1	ct1pt-tnode006	2097151	2	0.154536	0.240953
8		7	ct1pt-tnode009	2097151	2	0.150128	0.251255
8		6	ct1pt-tnode009	2097151	2	0.147097	0.251254
8		5	ct1pt-tnode008	2097151	2	0.123601	0.239554
8		2	ct1pt-tnode007	2097151	2	0.123691	0.243469
8		4	ct1pt-tnode008	2097151	2	0.121246	0.239542
8		3	ct1pt-tnode007	2097151	2	0.123195	0.243472
8		0	ct1pt-tnode006	16777215	2	1.48795	3.82874
8		1	ct1pt-tnode006	16777215	2	1.50792	4.01045
8		6	ct1pt-tnode009	16777215	2	1.47385	4.56994
8		5	ct1pt-tnode008	16777215	2	1.51152	4.53479
8		7	ct1pt-tnode009	16777215	2	1.45552	4.56998
8		4	ct1pt-tnode008	16777215	2	1.48601	4.53486
8		2	ct1pt-tnode007	16777215	2	1.47093	4.5335
8		3	ct1pt-tnode007	16777215	2	1.46	4.53351
8		0	ct1pt-tnode006	134217727	2	12.2864	16.7064
8		1	ct1pt-tnode006	134217727	2	13.9716	18.1613
8		4	ct1pt-tnode008	134217727	2	9.87815	3.33939
8		6	ct1pt-tnode009	134217727	2	15.0376	3.51958
8		5	ct1pt-tnode008	134217727	2	11.5398	3.33912
8		7	ct1pt-tnode009	134217727	2	12.7608	3.51835
8		2	ct1pt-tnode007	134217727	2	12.1397	18.2196
8		3	ct1pt-tnode007	134217727	2	13.8528	18.2195
8		0	ct1pt-tnode006	32767	4	0.0780199	0.647826
8		1	ct1pt-tnode006	32767	4	0.603447	0.658942
8		6	ct1pt-tnode009	32767	4	0.0791519	1.34362
8		4	ct1pt-tnode008	32767	4	0.0787089	0.674577
8		7	ct1pt-tnode009	32767	4	0.58448	1.34363
8		5	ct1pt-tnode008	32767	4	0.582523	0.684712
8		3	ct1pt-tnode007	32767	4	0.610213	1.30558
8		2	ct1pt-tnode007	32767	4	0.078012	1.30558
8		0	ct1pt-tnode006	262143	4	0.00754929	0.0248638
8		1	ct1pt-tnode006	262143	4	0.00743594	0.106886
8		6	ct1pt-tnode009	262143	4	0.0109206	0.0650626
8		7	ct1pt-tnode009	262143	4	0.00759565	0.134126
8		5	ct1pt-tnode008	262143	4	0.00793015	0.134621
8		3	ct1pt-tnode007	262143	4	0.0107292	0.113283
8		4	ct1pt-tnode008	262143	4	0.00761882	0.0551805
8		2	ct1pt-tnode007	262143	4	0.0105548	0.0506703
8		0	ct1pt-tnode006	2097151	4	0.0985258	0.214676
8		1	ct1pt-tnode006	2097151	4	0.100263	0.238056
8		6	ct1pt-tnode009	2097151	4	0.0962989	0.244667
8		7	ct1pt-tnode009	2097151	4	0.0991821	0.244649
8		5	ct1pt-tnode008	2097151	4	0.0712118	0.234569
8		3	ct1pt-tnode007	2097151	4	0.0710978	0.238887
8		4	ct1pt-tnode008	2097151	4	0.0698081	0.234553
8		2	ct1pt-tnode007	2097151	4	0.0704107	0.238885
8		0	ct1pt-tnode006	16777215	4	0.936053	3.82004
8		1	ct1pt-tnode006	16777215	4	0.950498	4.0018
8		6	ct1pt-tnode009	16777215	4	0.890642	4.54825
8		5	ct1pt-tnode008	16777215	4	0.962976	4.52212
8		7	ct1pt-tnode009	16777215	4	0.88649	4.54823
8		4	ct1pt-tnode008	16777215	4	0.896538	4.52214
8		3	ct1pt-tnode007	16777215	4	0.887843	4.52325
8		2	ct1pt-tnode007	16777215	4	0.891047	4.52325
8		0	ct1pt-tnode006	134217727	4	6.70013	16.7083
8		1	ct1pt-tnode006	134217727	4	8.71206	18.1634
8		6	ct1pt-tnode009	134217727	4	9.36228	3.51764
8		5	ct1pt-tnode008	134217727	4	5.87741	3.33456
8		3	ct1pt-tnode007	134217727	4	8.59896	18.2114
8		7	ct1pt-tnode009	134217727	4	7.07017	3.51644
8		4	ct1pt-tnode008	134217727	4	4.98314	3.3348
8		2	ct1pt-tnode007	134217727	4	6.60863	18.2115
8		0	ct1pt-tnode006	32767	6	0.0851755	0.629893
8		1	ct1pt-tnode006	32767	6	0.610054	0.635935
8		6	ct1pt-tnode009	32767	6	0.119657	1.24775
8		5	ct1pt-tnode008	32767	6	0.599312	0.643484
8		3	ct1pt-tnode007	32767	6	0.61019	1.2683
8		7	ct1pt-tnode009	32767	6	0.599947	1.24775
8		4	ct1pt-tnode008	32767	6	0.0821278	0.638473
8		2	ct1pt-tnode007	32767	6	0.119905	1.26829
8		0	ct1pt-tnode006	262143	6	0.0442589	0.0203161
8		1	ct1pt-tnode006	262143	6	0.00838423	0.0613823
8		6	ct1pt-tnode009	262143	6	0.0100252	0.0492709
8		7	ct1pt-tnode009	262143	8		3	ct1pt-tnode007	262143	6	0.0100842	0.0687638
6	0.00712344	0.0837081
8		5	ct1pt-tnode008	262143	6	0.00703165	0.0846949
8		2	ct1pt-tnode007	262143	6	0.0102839	0.0356304
8		4	ct1pt-tnode008	262143	6	0.0069221	0.0451638
8		0	ct1pt-tnode006	2097151	6	0.0818906	0.21359
8		1	ct1pt-tnode006	2097151	6	0.0849819	0.236879
8		5	ct1pt-tnode008	2097151	6	0.0547503	0.234291
8		6	ct1pt-tnode009	2097151	6	0.0801167	0.235566
8		4	ct1pt-tnode008	2097151	6	0.0536486	0.234281
8		7	ct1pt-tnode009	2097151	6	0.0821681	0.235531
8		3	ct1pt-tnode007	2097151	6	0.0546509	0.237837
8		2	ct1pt-tnode007	2097151	6	0.0559162	0.237838
8		0	ct1pt-tnode006	16777215	6	0.770241	3.82129
8		1	ct1pt-tnode006	16777215	6	0.782521	4.00303
8		5	ct1pt-tnode008	16777215	6	0.796829	4.53298
8		6	ct1pt-tnode009	16777215	6	0.708487	4.5671
8		4	ct1pt-tnode008	16777215	6	0.712452	4.53301
8		7	ct1pt-tnode009	16777215	6	0.708757	4.56708
8		3	ct1pt-tnode007	16777215	6	0.715413	4.52506
8		2	ct1pt-tnode007	16777215	6	0.708885	4.52506
8		0	ct1pt-tnode006	134217727	6	4.83864	16.7042
8		1	ct1pt-tnode006	134217727	6	6.94401	18.1595
8		6	ct1pt-tnode009	134217727	6	7.47432	3.52045
8		5	ct1pt-tnode008	134217727	6	3.96565	3.34009
8		7	ct1pt-tnode009	134217727	6	5.34122	3.51926
8		4	ct1pt-tnode008	134217727	6	3.34104	3.34033
8		3	ct1pt-tnode007	134217727	6	6.82979	18.2112
8		2	ct1pt-tnode007	134217727	6	4.77277	18.2113
8		0	ct1pt-tnode006	32767	8	0.059559	0.616882
8		1	ct1pt-tnode006	32767	8	0.603721	0.621252
8		7	ct1pt-tnode009	32767	8	0.600045	1.22458
8		6	ct1pt-tnode009	32767	8	0.139692	1.22458
8		5	ct1pt-tnode008	32767	8	0.603231	0.626114
8		4	ct1pt-tnode008	32767	8	0.142815	0.622828
8		3	ct1pt-tnode007	32767	8	0.606435	1.24164
8		2	ct1pt-tnode007	32767	8	0.142021	1.24164
8		0	ct1pt-tnode006	262143	8	0.035694	0.00655514
8		1	ct1pt-tnode006	262143	8	0.0088091	0.0361534
8		7	ct1pt-tnode009	262143	8	0.00899043	0.0594226
8		5	ct1pt-tnode008	262143	8	0.0090565	0.0630345
8		3	ct1pt-tnode007	262143	8	0.0109723	0.0415611
8		6	ct1pt-tnode009	262143	8	0.0127249	0.0362537
8		4	ct1pt-tnode008	262143	8	0.00880209	0.0339899
8		2	ct1pt-tnode007	262143	8	0.0120745	0.0187364
8		0	ct1pt-tnode006	2097151	8	0.0772068	0.221636
8		1	ct1pt-tnode006	2097151	8	0.0787437	0.244967
8		7	ct1pt-tnode009	2097151	8	0.0783671	0.243177
8		5	ct1pt-tnode008	2097151	8	0.0486046	0.253025
8		3	ct1pt-tnode007	2097151	8	0.0510096	0.258632
8		6	ct1pt-tnode009	2097151	8	0.0763017	0.243164
8		4	ct1pt-tnode008	2097151	8	0.0503827	0.241952
8		2	ct1pt-tnode007	2097151	8	0.0498678	0.258637
8		0	ct1pt-tnode006	16777215	8	0.690184	3.82076
8		1	ct1pt-tnode006	16777215	8	0.699776	4.0025
8		7	ct1pt-tnode009	16777215	8	0.641887	4.56688
8		4	ct1pt-tnode008	16777215	8	0.648599	4.53123
8		6	ct1pt-tnode009	16777215	8	0.651674	4.56688
8		5	ct1pt-tnode008	16777215	8	0.716994	4.53121
8		3	ct1pt-tnode007	16777215	8	0.652322	4.54003
8		2	ct1pt-tnode007	16777215	8	0.670194	4.54004
8		0	ct1pt-tnode006	134217727	8	4.04175	16.7155
8		1	ct1pt-tnode006	134217727	8	6.13242	18.1708
8		6	ct1pt-tnode009	134217727	8	6.59964	3.53834
8		4	ct1pt-tnode008	134217727	8	2.54559	3.36997
8		7	ct1pt-tnode009	134217727	8	4.48838	3.53715
8		5	ct1pt-tnode008	134217727	8	3.05167	3.36971
8		3	ct1pt-tnode007	134217727	8	6.02265	18.2417
